ID,SKU,Description,Type,Cost,Price,WsalePrice,MaxDiscount,Comments,Unit
144,01473-S04-000-G          ,CALIPER KIT REAR HONDA/ CIVIC 96-00,1,3989,9972.5,0,0,,Unit
145,01473-S04-000-J,CALIPER KIT REAR HONDA/ CIVIC 96-00,1,6500,6500,0,0,,Unit
146,01473-SD2-932-G          ,CALIPER KIT (REAR) HONDA/INTEGRA DA6 1.6 DOHC 90-92,1,5450,5450,0,0,,Unit
147,01473-SD2-932-J          ,CALIPER KIT (REAR) HONDA/INTEGRA DA6 1.6 DOHC 90-92,1,3500,3500,0,0,,Unit
148,01473-SHJ-A00-G          ,CALIPER KIT (REAR) HONDA/ RIDGELINE 0609,1,1950,4875,0,0,,Unit
149,01473-SM4-010-G          ,CALIPER KIT (REAR) HONDA/PRELUDE 96-,1,2521.55,6303.88,0,0,,Unit
150,01473-SM4-010-J,CALIPER KIT (REAR) HONDA/PRELUDE 96-,1,339.2,6614.4,0,0,,Unit
151,01473-SP0-000-G          ,CALIPER KIT (REAR) HONDA/CR-V RD5 03-,1,0,0,0,0,,Unit
152,01473-ST7-000-G          ,CALIPER KIT (REAR) HONDA/INTEGRA 95-,1,0,0,0,0,,Unit
153,01473-SV4-000-G          ,CALIPER KIT (REAR) HONDA/ACCORD  98-07 CIVIC 06-11,1,3168.1,6336.2,0,0,,Unit
154,01473-SV4-000-J          ,CALIPER KIT (REAR) HONDA/PRELUDE 90-02 ACCORD 90-12 CIVIC 06-12,1,3200,6400,0,0,,Unit
155,01473-SZ3-A00-J,CALIPER KIT (REAR) HONDA ACCORD 90-07,1,744,5580,0,0,,Unit
156,01473-TA0-A50-G          ,CALIPER KIT REAR HONDA ACCORD 08-12 ,1,1755.95,4389.88,0,0,,Unit
157,01473-TA0-A50-J,CALIPER KIT REAR HONDA ACCORD 08-12 ,1,553.6,6089.6,0,0,,Unit
158,01643-SM4-000-G          ,CALIPER KIT FRT HONDA/HR-V 99-  CIVIC EK9 TYPE R 98-  ODYSSEY 98-04,1,0,0,0,0,,Unit
159,04101-PLM-A00-G          ,"SENSOR , VENT PRESSURE HONDA/CIVIC , 1.7 , 01-",1,0,0,0,0,,Unit
160,04110-SWA-305-G          ,BULB ROOF LAMP 12V 8W HONDA/ACCORD 89- CIVIC 89-,1,710.4,1776,0,0,,Unit
161,04133-P01-305-G,BOLT WASHER CRANKSHAFT HONDA/ACCORD 99-01 <CIVIC 92-01,1,2447.2,6974.52,0,0,,Unit
162,04145-PLC-315-G          ,TENSIONER < TIMING BELT HONDA/CIVIC 1.7 (01-)  CIVIC 5D 1.5 EU1 01- <STREAM 1.7 01-  14520-PLC-335-G,1,5332,8531.2,0,0,,Unit
163,04301-RNA-305-G          ,"BELT A/C ( 7PK-2164) HONDA/CIVIC 4DR , EX 06-11 ",1,5075,12687.5,0,0,,Unit
164,04301-RNA-305-J          ,"BELT A/C ( 7PK-2164, 7PK-2165) HONDA/CIVIC 4DR , EX 06-11 ",1,6500,6500,0,0,,Unit
165,04301-RNA-307-G,"BELT A/C 7PK-2164 HONDA/CIVIC 4DR , DX , EX , 06-11",1,6152,13842,0,0,,Unit
166,04317-RCA-305-G          ,TENSIONER<A/C HONDA/ACCORD V6    02-06,1,16210.67,21073.87,0,0,,Unit
167,04317-RCA-305-N          ,TENSIONER<A/C HONDA/ACCORD 02-06,1,7696,17316,0,0,,Unit
168,04321-SV4-306-G          ,"CONNECTOR (1P 250 F) (FOG) HONDA/CIVIC 06-09, PILOT 06-09",1,942.88,2357.2,0,0,,Unit
169,04602-S05-300ZZ-G        ,PANEL< BONNET LOCKING HONDA/INTEGRA SJ EK3 96-,1,0,0,0,0,,Unit
170,04602-ST7-300ZZ-G        ,PANEL< BONNET LOCKING HONDA/INTEGRA 93-94,1,0,0,0,0,,Unit
171,04608-T0A-A00ZZ-G        ,MEMBER SET R FRONT EXTENSION HONDA/CR-V 2012,1,7632.8,19082,0,0,,Unit
172,04620-SDA-A90-N,"FENDER RH FRT HONDA/ACCORD , 03-07",1,28000,28000,0,0,,Unit
173,04620-SDA-A90ZZ-G        ,"FENDER RH FRT HONDA/ACCORD , 03-07",1,0,0,0,0,,Unit
174,04620-SDA-K00ZZ-G        , FENDER FRT RH HONDA/ACCORD 2.0 03-04,1,0,0,0,0,,Unit
175,04620-SDN-A90ZZ          ,FENDER FRT (RH) HONDA/ACCORD COUPE 03-,1,0,0,0,0,,Unit
176,04620-SDN-A90ZZ-G        ,FENDER FRT (RH) HONDA/ACCORD COUPE 03-,1,0,0,0,0,,Unit
177,04630-SDA-A90-N          ,"FENDER LH FRONT HONDA/ACCORD, 03-07",1,4370,4370,0,0,,Unit
178,04630-SDA-A90ZZ-G        ,"FENDER LH FRT HONDA/ACCORD , 03-07",1,0,0,0,0,,Unit
179,04630-SDA-K00ZZ-G        ,FENDER  FRT (LH) HONDA/ACCORD 2.0 03-04,1,0,0,0,0,,Unit
180,04630-SDN-A90ZZ          ,"FENDER LH FRT HONDA/ACCORD , 03-07",1,0,0,0,0,,Unit
181,04631-S02-J00ZZ-G        ,RUNNING BOARD (RH) HONDA/CIVIC COUPE (96-99),1,0,0,0,0,,Unit
182,04631-S04-300ZZ-G        ,RUNNING BOARD (RH) HONDA/CIVIC H/B 96-00,1,0,0,0,0,,Unit
183,04631-S0A-300ZZ-G        ,RUNNING BOARD (RH) HONDA/ACCORD CF-3  98-,1,0,0,0,0,,Unit
184,04631-S7A-300ZZ-G        ,RUNNING BOARD (RH) HONDA/STREAM 01-,1,0,0,0,0,,Unit
185,04631-S84-A91ZZ-G        ,RUNNING BOARD (RH) HONDA/ACCORD 99-,1,0,0,0,0,,Unit
186,04631-SV4-A00ZZ-G        ,RUNNING B0ARD (RH) HONDA/ACCORD (4D) 94-,1,0,0,0,0,,Unit
187,04631-SV4-A90ZZ-G        ,RUNNING BOARD (RH) HONDA/ACCORD (4D) 94-97,1,0,0,0,0,,Unit
188,04635-S0A-300ZZ-G        ,FRAME DOOR FRT (RH) HONDA/ACCORD CF-3  98-,1,0,0,0,0,,Unit
189,04635-S6A-300ZZ-G        ,FRAME DOOR FRT (RH) HONDA/CIVIC 5D EU1 01-,1,0,0,0,0,,Unit
190,04635-S6M-300ZZ-G        ,FRAME DOOR FRT RH HONDA/INTEGRA DC5 00-,1,0,0,0,0,,Unit
191,04635-S7A-E01ZZ-G        ,FRAME DOOR FRT (RH) HONDA/STREAM 99-,1,0,0,0,0,,Unit
192,04635-S84-Q01ZZ-G        ,FRAME DOOR FRT (RH) HONDA/ACCORD 98,1,0,0,0,0,,Unit
193,04635-S9A-300ZZ-G        ,FRAME DOOR FRT RH HONDA/CR-V RD5 02-,1,0,0,0,0,,Unit
