SKU,DESCRIPTION,VEHICLE,MODEL,LOCATION,QUANTITY,COST,PRICE,WHOLEPRICE,SUPPLIER
010-S,O/RING SEAL,,,,3.000,0.23,26.09,26.09,JOKMEL WALLACE
01-105B,FOG LAMP,FOG LAMP,FOG LAMP,,0.000,0.00,643.78,0.00,
01-105R,FOG LAMP,FOG LAMP,FOG LAMP,,0.000,0.00,643.78,0.00,
"01111<11"">",WIPER BLADE,UNIVERSAL,PYLON,OIL PASGE*,0.000,256.65,377.69,377.68,STOCK TAKING
"01113<13"">",WIPER BLADE,UNIVERSAL,PYLON,OIL PASAGE,0.000,356.52,547.83,547.83,MIRACLE CORPORATION LTD
"01114<14"">",WIPER BLADE,UNIVERSAL,PYLON,OIL PASGE*,0.000,356.52,547.83,547.83,MIRACLE CORPORATION LTD
"01115<15"">",WIPER BLADE,UNIVERSAL,PYLON,OIL PASGE*,24.000,630.00,1043.48,1043.48,DAYTONA SALES COMPANY L
"01116<16"">",WIPER BLADE,UNIVERSAL,PYLON,OIL PASGE*,11.000,665.00,1086.96,1086.96,DAYTONA SALES COMPANY L
"01117<17"">",WIPER BLADE,UNIVERSAL,PYLON,OIL PASGE*,18.000,665.00,1086.96,1086.96,DAYTONA SALES COMPANY L
"01118<18"">",WIPER BLADE,UNIVERSAL,PYLON,OIL PASGE*,1.000,665.00,1086.96,1086.96,DAYTONA SALES COMPANY L
"01119<19"">",WIPER BLADE,UNIVERSAL,PYLON,OIL PASGE*,36.000,735.00,1113.04,1113.04,DAYTONA SALES COMPANY L
"01120A<20"">",WIPER BLADE,UNIVERSAL,PYLON<SCREW ON>,OIL PASGE*,1.000,770.00,1121.74,1121.74,DAYTONA SALES COMPANY L
